# Evil team
--rr-max|Maxie||/leaders/rs-maxie-oras@Hyo@https://www.deviantart.com/hyo-oppa
mightyena|64|crunch,fire-fang,thunder-fang,ice-fang|intimidate
crobat|64|air-slash,dark-pulse,toxic,sludge-bomb|inner-focus
weezing|64|sludge-bomb,thunderbolt,shadow-ball,pain-split|levitate
camerupt|64|earthquake,stone-edge,flamethrower,flash-cannon|magma-armor
groudon|66|earthquake,flamethrower,ancient-power,solar-beam|drought

--rr-arch|Archie||/leaders/rs-archie-oras@Hyo@https://www.deviantart.com/hyo-oppa
mightyena|64|crunch,fire-fang,thunder-fang,ice-fang|intimidate
crobat|64|air-slash,dark-pulse,toxic,sludge-bomb|inner-focus
muk|64|gunk-shot,fire-punch,thunder-punch,ice-punch|poison-touch
sharpedo|64|night-slash,liquidation,ice-fang,poison-fang|rough-skin
kyogre|66|hydro-pump,ice-beam,ancient-power,thunder|drizzle

--rr-ca|Cyrus||/leaders/dp-cyrus
houndoom|65|fire-blast,dark-pulse,sludge-bomb,shadow-ball|early-bird
honchkrow|65|night-slash,sky-attack,heat-wave,icy-wind|insomnia
crobat|65|cross-poison,zen-headbutt,x-scissor,super-fang|inner-focus
weavile|65|night-slash,quick-attack,ice-punch,brick-break|pressure
dialga|67|roar-of-time,flash-cannon,earth-power,thunderbolt|pressure

--rr-cb|Cyrus||/leaders/dp-cyrus
houndoom|65|fire-blast,dark-pulse,sludge-bomb,shadow-ball|early-bird
honchkrow|65|night-slash,sky-attack,heat-wave,icy-wind|insomnia
crobat|65|cross-poison,zen-headbutt,x-scissor,super-fang|inner-focus
weavile|65|night-slash,quick-attack,ice-punch,brick-break|pressure
palkia|67|spacial-rend,surf,earth-power,thunderbolt|pressure

--rr-gha|Ghetsis||/leaders/blwh-ghetsis
cofagrigus|66|will-o-wisp,shadow-ball,power-split,dark-pulse|mummy
bouffalant|66|head-charge,poison-jab,earthquake,megahorn|reckless
bisharp|66|iron-head,night-slash,stone-edge,x-scissor|defiant
hydreigon|66|dragon-pulse,hyper-voice,dark-pulse,surf|levitate
zekrom|68|bolt-strike,hyper-voice,dragon-claw,zen-headbutt|teravolt

--rr-ghb|Ghetsis||/leaders/blwh-ghetsis
cofagrigus|66|will-o-wisp,shadow-ball,power-split,dark-pulse|mummy
bouffalant|66|head-charge,poison-jab,earthquake,megahorn|reckless
bisharp|66|iron-head,night-slash,stone-edge,x-scissor|defiant
hydreigon|66|dragon-pulse,hyper-voice,dark-pulse,surf|levitate
reshiram|68|blue-flare,hyper-voice,dragon-claw,zen-headbutt|turboblaze

--rr-la|Lysandre||/leaders/xy-lysandre@Sugar and Spice@https://chipsncookies.tumblr.com/
mienshao|65|fake-out,dual-chop,high-jump-kick,u-turn|inner-focus
honchkrow|65|dark-pulse,heat-wave,psychic,shadow-ball|insomnia
pyroar|65|flamethrower,will-o-wisp,hyper-voice,snarl|rivalry
gyarados|65|crunch,waterfall,earthquake,stone-edge|intimidate|gyaradosite
xerneas|67|geomancy,moonblast,thunderbolt,psyshock|fairy-aura

--rr-lb|Lysandre||/leaders/xy-lysandre@Sugar and Spice@https://chipsncookies.tumblr.com/
mienshao|65|fake-out,dual-chop,high-jump-kick,u-turn|inner-focus
honchkrow|65|dark-pulse,heat-wave,psychic,shadow-ball|insomnia
pyroar|65|flamethrower,will-o-wisp,hyper-voice,snarl|rivalry
gyarados|65|crunch,waterfall,earthquake,stone-edge|intimidate|gyaradosite
yveltal|67|oblivion-wing,air-slash,psychic,shadow-ball|dark-aura

--rr-ga|Giovanni||/leaders/sm-giovanni@Sugar and Spice@https://chipsncookies.tumblr.com/
dugtrio|68|sandstorm,earthquake,sucker-punch,stealth-rock|sand-veil|smooth-rock
nidoking|68|earthquake,poison-jab,throat-chop,aqua-tail|poison-point
nidoqueen|68|surf,sludge-wave,earth-power,flamethrower|poison-point
rhyperior|68|megahorn,earthquake,stone-edge,thunder-punch|lightning-rod
mewtwo|70|zen-headbutt,earthquake,stone-edge,drain-punch|pressure|mewtwonite-x

--rr-gb|Giovanni||/leaders/sm-giovanni@Sugar and Spice@https://chipsncookies.tumblr.com/
dugtrio|68|sandstorm,earthquake,sucker-punch,stealth-rock|sand-veil|smooth-rock
nidoking|68|earthquake,poison-jab,throat-chop,aqua-tail|poison-point
nidoqueen|68|surf,sludge-wave,earth-power,flamethrower|poison-point
rhyperior|68|megahorn,earthquake,stone-edge,thunder-punch|lightning-rod
mewtwo|70|psystrike,aura-sphere,psychic,ice-beam|pressure|mewtwonite-y

--f1|Faba||/leaders/sm-faba@Beliot419@https://www.deviantart.com/beliot419
hypno|43|psychic,hypnosis,disable,nightmare|insomnia

--f2|Faba & Employee||/leaders/sm-faba@Beliot419@https://www.deviantart.com/beliot419
claydol|44|earth-power,extrasensory,ancient-power,grass-knot|levitate
bruxish|44|aqua-jet,crunch,psychic-fangs,waterfall|strong-jaw
hypno|45|psychic,hypnosis,focus-blast,nightmare|insomnia
ledian|42|light-screen,reflect,air-slash,bug-buzz|swarm
pupitar|42|snarl|shed-skin

--f3|Faba & Employee||/leaders/sm-faba@Beliot419@https://www.deviantart.com/beliot419
hypno|63|psychic,hypnosis,focus-blast,dream-eater|insomnia
claydol|63|earth-power,extrasensory,ancient-power,grass-knot|levitate
bruxish|63|aqua-jet,crunch,psychic-fangs,waterfall|strong-jaw
granbull|61|snarl|intimidate
scrafty|61|snarl|intimidate
