--???|dark1_h|evil-team|Persephone
--???|dark1_h|evil-team|Persephone
--???|dark1_h|evil-team|Persephone
--???|dark2_h|evil-team|Persephone
--???|dark2_h|evil-team|Persephone
--???|dark2_h|evil-team|Persephone
--???|dark3_h|evil-team|Persephone
--???|dark3_h|evil-team|Persephone
--???|dark3_h|evil-team|Persephone
--???|inf1_h|evil-team|Zenith|# Fiery Caverns
--???|inf2_h|evil-team|Zenith# Infernal Base
--???|abys1_h|evil-team|Audrey|#Whirl Islands
--???|abys2_h|evil-team|Audrey|Abyssal Base
--???|perf1_h|evil-team|Taen|#Perfection Base
--???|perf2_h|evil-team|Taen|#Kepler City
--???|perf3_h|evil-team|Taen|#Dragon Ruins
--???|perf4_h|evil-team|Taen|#Perfection Base
--???|perf5_h|evil-team|Taen|# Alpha Templte
--???|perf6_h|evil-team|Taen|#Dragon Ruins
--???|j1_h|mini-boss|Jaern|
--???|j2_h|mini-boss|Jaern|
--???|1_h|gym-leader|Orion|fire|
--???|2_h|gym-leader|Xavier|bug/poison
--???|3_h|gym-leader|East|flying
--???|4_h|gym-leader|Harmony|fairy
--???|5_h|gym-leader|Anastasia|steel/electric
--???|6_h|gym-leader|Diana|psychic/ghost
--???|7_h|gym-leader|Calreath|water|
--???|8_ha|gym-leader|Adam|dark
--???|8_hb|gym-leader|Adam|dark
--???|e1_h|elite-four|Kayla
--???|e2_h|elite-four|Eduard|
--???|e3_h|elite-four|Yuki|
--???|e4_h|elite-four|London|
--???|ec_h|elite-four|Reukra
--???|mb1_h|mini-bos|Gail#Dragon Ruins
--???|r1_h|rival|Damian
--???|r2_h|rival|Damian
--???|n1_h|rival|Nora
--???|n2_h|rival|Nora
--???|n3_h|rival|Nora
--???|n4_h|rival|Nora







Alpha Temple|unown,lucario,hydreigon,aegislash
Amphitrite City|kingler,seadra,dratini,octillery,sharpedo,wailord,clamperl,huntail,relicanth,empoleon,budew,lumineon,palpitoad,carracosta,swanna,barbaracle,noibat,delta-shuckle
Ancient Ruins|sandshrew,tentacool,geodude,magikarp,gyarados,remoraid,tyrogue,riolu,mantyke,alomomola,delta-geodude
Ancient Tower|golbat,ho-oh,mawile,claydol,banette,lucario,sigilyph,fraxure,mienfoo,delta-noibat
Armor Fossil|shieldon
Battle Frontier|delta-plusle,delta-minun,delta-golett,mewtwo
Broadcast Tower|latios,axew,deino,delta-grimer,delta-solosis
Cave of Steam|tentacruel,geodude,marowak,rhyhorn,starmie,magikarp,gyarados,lapras,croconaw,lanturn,shuckle,slugma,magcargo,remoraid,octillery,swampert,nosepass,torkoal,roggenrola,gigalith,dwebble,druddigon,heatmor,carbink,volcanion
Cerebrum Town|delta-yamask
Claw Fossil|anorith
Cloud Bottle|delta-hoopa
Coatlicue Gardens|xerneas
Cortisol Road|clefable,ninetales,drowzee,munna,musharna,zorua,delta-chinchou
Cover Fossil|tirtouga
Crossroads|growlithe,weepinbell,slowpoke,ditto,dunsparce,qwilfish,electrike,kecleon,piplup,stunky,fennekin,fletchling,clauncher
Crystal Caves|tentacool,kingler,goldeen,staryu,starmie,gyarados,lapras,mew,slowking,corsola,remoraid,sableye,grumpig,relicanth,mismagius,victini,gigalith,palpitoad,druddigon,clauncher,carbink,diancie
Cyan Cavern|geodude,magnemite,onix,magikarp,gyarados,wooper,shuckle,whismur,makuhita,nosepass,sableye,relicanth,panpour,roggenrola,dwebble,pancham,carbink
Dark Cave|zubat,golbat,abra,kadabra,geodude,graveler,krabby,kingler,qwilfish,poochyena,mightyena,carvanha,sharpedo,corphish,crawdaunt,purrloin,liepard,ducklett
Deep Cavern|tentacruel,kyogre
Deep Mantle|magcargo,houndoom,sableye,camerupt,spiritomb,excadrill,darmanitan,chandelure,bisharp,heatmor
Dev Island|uxie,mesprit,azelf
Deyraan Cave|kingler,seadra,starmie,lapras,dragonair,chinchou,quagsire,qwilfish,wailord,glalie,clamperl,luvdisc,abomasnow,mamoswine,gigalith,basculin,vanilluxe,avalugg
Deyraan Town|dewgong,walrein,glaceon,zorua,delta-misdreavus
Dome Fossil|kabuto
