Starter|piplup,turtwig,chimchar
Twinleaf Town|eevee,psyduck,golduck,magikarp,poliwag,gyarados,poliwhirl
Route 201|starly,bidoof,pidgey,kricketot,nidoran-m,nidoran-f,hoothoot,doduo

--Route 201|b1|rival|Barry

Lake Verity|starly,bidoof,surskit,azurill,psyduck,wingull,wynaut,masquerain,magikarp,gyarados
Route 202|shinx,zigzagoon,sentret,rattata,poochyena,growlithe,burmy,hoothoot,houndour
Route 203|starly,bidoof,spearow,seedot,lotad,cubone,abra,pineco,psyduck,golduck,magikarp,corphish,gyarados,crawdaunt

--Route 203|b2|rival|Barry

Oreburgh Gate|zubat,geodude,diglett,riolu,golbat,magikarp,barboach,gyarados,whiscash
Oreburgh City|beldum,treecko,torchic,mudkip

--Oreburgh Gym|1|gym-leader|Roark

Oreburgh Mine|geodude,zubat,whismur,aron,onix,trapinch
Route 207|machop,rhyhorn,ponyta,phanpy,larvitar,stantler,aipom,slakoth,metapod,kakuna,munchlax
Route 204|starly,budew,bellsprout,ralts,caterpie,weedle,wurmple,ledyba,sunkern,oddish,spinarak,roselia,marill,azumarill,magikarp,goldeen,corphish,gyarados,seaking,crawdaunt
Jubilife City|bulbasaur,charmander,squirtle,pichu,cleffa,igglybuff,togepi,tyrogue,smoochum,elekid,magby,azurill,wynaut,budew,chingling,bonsly,mime-jr,happiny,munchlax,riolu,mantyke
Ravaged Path|zubat,geodude,wooper,psyduck,sandshrew,makuhita,quagsire,magikarp,barboach,gyarados,whiscash
Floaroma Town|chikorita,cyndaquil,totodile
Floaroma Meadow|cherubi,shroomish,exeggcute,seedot,tangela
Route 205|bidoof,slowpoke,marill,croagunk,exeggcute,volbeat,illumise,yanma,azumarill,magikarp,corphish,gyarados,crawdaunt,starly,pidgey,hoothoot,taillow,farfetchd
Valley Windworks|magnemite,elekid,electrike,voltorb,drifloon,pachirisu,plusle,minun,shellos,tentacool,gastrodon,tentacruel,magikarp,shellder,chinchou,gyarados,cloyster,lanturn,aipom,slakoth,caterpie,weedle,munchlax

--Valley Windoworks|mars1|evil-team|Mars

Eterna Forest|buneary,shroomish,paras,slakoth,nincada,taillow,murkrow,misdreavus,beautifly,dustox,beedrill

--Eterna Forest|cheryl||Cheryl

The Old Chateau|rotom,gastly,haunter,gengar,rattata,raticate,duskull,shuppet
Eterna City|omanyte,kabuto,aerodactyl,lileep,anorith,cranidos,shieldon,psyduck,golduck,magikarp,poliwag,dratini,gyarados,poliwhirl,dragonair

