# League rs.txt

Starter|treecko,mudkip,torchic
Littleroot Town|chikorita,cyndaquil,totodile
Route 101|poochyena,zigzagoon,wurmple
Route 103|tentacool,magikarp,poochyena,zigzagoon,wingull,pelipper,sharpedo,wailmer
--Route 103|r1|rival|May
Route 102|goldeen,magikarp,marill,poochyena,zigzagoon,wurmple,seedot,ralts,surskit,corphish
Petalburg City|goldeen,magikarp,marill,corphish
Route 104|magikarp,zigzagoon,wurmple,taillow,wingull,pelipper
Petalburg Woods|zigzagoon,wurmple,silcoon,cascoon,taillow,shroomish,slakoth
Rustboro City|makuhita
--Rustboro Gym|1|gym-leader|Roxanne
Route 116|zigzagoon,taillow,nincada,whismur,skitty
Rusturf Tunnel|whismur
Route 105|regice
Dewford Town|tentacool,magikarp,wailmer
--Dewford Gym|2|gym-leader|Brawly
Route 106|tentacool,magikarp,wingull,pelipper,wailmer
Granite Cave|zubat,abra,geodude,nosepass,mawile,aron
Route 107|tentacool,magikarp,wingull,pelipper,wailmer
Route 109|tentacool,magikarp,wingull,pelipper,wailmer
Slateport City|tentacool,magikarp,wingull,pelipper,wailmer
Route 110|oddish,tentacool,magikarp,zigzagoon,wingull,pelipper,electrike,plusle,minun,gulpin,wailmer
--Route 110|r2|rival|May
Altering Cave|zubat,mareep,aipom,pineco,shuckle,teddiursa,houndour,stantler
New Mauville|magnemite,magneton,voltorb,electrode
--Mauville City|w1|rival|Wally
--Mauville City Gym|3|gym-leader|Wattson
Route 117|oddish,goldeen,magikarp,marill,zigzagoon,surskit,volbeat,illumise,roselia,corphish
Route 112|machop,numel
Route 113|sandshrew,skarmory,spinda
Route 114|geodude,goldeen,magikarp,marill,seedot,nuzleaf,surskit,swablu,zangoose,barboach
Desert Underpass|ditto,whismur,loudred
Meteor Falls|golbat,goldeen,magikarp,solrock,barboach,whiscash,bagon
Route 115|jigglypuff,tentacool,magikarp,taillow,swellow,wingull,pelipper,wailmer,swablu
Jagged Pass|machop,numel,spoink
--Mt. Chimney|ruby1|evil-team|Tabitha
--Mt. Chimney|max1|evil-team|Maxie
Lavaridge Town|wynaut
--Lavaridge Gym|4|gym-leader|Flannery
Fiery Path|machop,grimer,koffing,slugma,numel,torkoal
Route 111|regirock
Mirage Tower|sandshrew,trapinch
--Petalburg Gym|5|gym-leader|Norman
Route 118|tentacool,goldeen,magikarp,zigzagoon,linoone,wingull,pelipper,electrike,manectric,carvanha,sharpedo,kecleon
Route 119|castform
--Weather Institute|ruby2|evil-team|Courtney
--Weather Institute|r3|rival|May
Fortree City|skitty,plusle
--Fortree City Gym|6|gym-leader|Winona
Route 120|registeel
Route 121|oddish,gloom,tentacool,magikarp,zigzagoon,linoone,wingull,pelipper,wailmer,kecleon,duskull
Safari Zone|pikachu,oddish,gloom,psyduck,doduo,goldeen,seaking,magikarp,natu,wobbuffet,girafarig
Route 122|tentacool,magikarp,wingull,pelipper,sharpedo,wailmer
Mt. Pyre|shuppet,duskull,chimecho
Route 123|oddish,gloom,tentacool,magikarp,zigzagoon,linoone,wingull,pelipper,wailmer,kecleon,duskull
Lilycove City|tentacool,staryu,magikarp,wingull,pelipper,wailmer
--Lilycove City|r4|rival|May
--Team Magma Hideout|ruby3|evil-team|Tabitha
Route 124|chinchou,clamperl,relicanth
Mossdeep City|beldum
--Mossdeep City Gym|7|gym-leader|Tate & Liza
Route 125|tentacool,magikarp,wingull,pelipper,sharpedo,wailmer
Shoal Cave|zubat,golbat,snorunt,spheal
Route 127|tentacool,magikarp,wingull,pelipper,sharpedo,wailmer
Route 128|tentacool,magikarp,corsola,wingull,pelipper,wailmer,luvdisc
Seafloor Cavern|zubat,golbat,tentacool,magikarp,wailmer
--Seafloor Cavern|ruby4|evil-team|Courtney
--Seafloor Cavern|max2|evil-team|Maxie
Route 126|chinchou,clamperl,relicanth
Sootopolis City|tentacool,magikarp,gyarados
Cave of Origin|groudon
--Sootopolis Gym|8|gym-leader|Wallace
Route 108|tentacool,magikarp,wingull,pelipper,wailmer
Abandoned Ship|tentacool,tentacruel,magikarp
Route 129|tentacool,magikarp,wingull,pelipper,sharpedo,wailmer,wailord
Route 130|tentacool,magikarp,wingull,pelipper,sharpedo,wailmer
Mirage Island|wynaut
Route 131|tentacool,magikarp,wingull,pelipper,sharpedo,wailmer
Pacifidlog Town|tentacool,magikarp,corsola,wingull,pelipper,sharpedo,wailmer
Route 132|tentacool,horsea,magikarp,wingull,pelipper,sharpedo,wailmer
Route 133|tentacool,horsea,magikarp,wingull,pelipper,sharpedo,wailmer
Route 134|tentacool,horsea,magikarp,wingull,pelipper,sharpedo,wailmer
Ever Grande City|tentacool,magikarp,corsola,wingull,pelipper,wailmer,luvdisc
Victory Road|golbat,goldeen,magikarp,mawile,lairon,medicham,barboach,whiscash
--Victory Road|w2|rival|Wally
--Pokémon League|e1|elite-four|Sidney
--Pokémon League|e2|elite-four|Phoebe
--Pokémon League|e3|elite-four|Glacia
--Pokémon League|e4|elite-four|Drake
--Pokémon League Champion|c|elite-four|Steven
Sky Pillar|rayquaza
Artisan Cave|smeargle
